	xref_x	go_term_x	path_x	xref_y	go_term_y	path_y	p1	p2	brain_x	kidney_x	liver_x	brain_y	kidney_y	liver_y	type	sc_sim	yc_sim	p_corr	r_sim
0	A0A5F8MPM8	GO:0016324,GO:0043025,GO:0098688,GO:0098793,GO:0098978,GO:0099189	GO:0005575,GO:0005622,GO:0005856,GO:0005886,GO:0014731,GO:0016020,GO:0016324,GO:0030054,GO:0036477,GO:0043025,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044297,GO:0045177,GO:0045202,GO:0060076,GO:0071944,GO:0098590,GO:0098688,GO:0098793,GO:0098794,GO:0098978,GO:0099189,GO:0099571,GO:0110165	G3V6S0	GO:0032991,GO:0098794,GO:0098978	GO:0005575,GO:0030054,GO:0032991,GO:0045202,GO:0098794,GO:0098978,GO:0110165	ENSMUSG00000067889	ENSRNOG00000005434	133.44833333333335	7.619346666666666	18.725266666666666	224.975	169.37633333333338	35.29380000000001	ortholog	0.5324808995424549	0.1873039559170946	-1.0	0.6635980973672924
1	Q9JJI8	GO:0005829,GO:0033291,GO:0045202	GO:0005575,GO:0005622,GO:0005737,GO:0005829,GO:0030054,GO:0032991,GO:0033291,GO:0045202,GO:0070992,GO:0110165,GO:1990904	P63174	GO:0022625	GO:0005575,GO:0005622,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0110165,GO:1990904	ENSMUSG00000057322	ENSRNOG00000030747	100.17023333333331	94.73593333333334	45.2974	61.11886666666667	94.3863	55.13393333333334	ortholog	0.3532635777213156	0.43332056342966385	1.0	0.990776077418813
2	P97351	GO:0005634,GO:0005829,GO:0045202	GO:0005575,GO:0005622,GO:0005634,GO:0005737,GO:0005829,GO:0030054,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0045202,GO:0110165	P49242	GO:0005634,GO:0015935,GO:0022627	GO:0005575,GO:0005622,GO:0005634,GO:0005737,GO:0005829,GO:0005840,GO:0015935,GO:0022626,GO:0022627,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044391,GO:0110165,GO:1990904	ENSMUSG00000028081	ENSRNOG00000011893	71.04783333333334	84.694	62.73536666666666	260.436	527.7276666666667	288.0493333333333	ortholog	0.5200555124148436	0.38948615630072014	1.0	0.9690904997090465
3	Q9WV92	GO:0014069,GO:0030673,GO:0033270,GO:0044224	GO:0005575,GO:0005886,GO:0014069,GO:0016020,GO:0030054,GO:0030424,GO:0030673,GO:0031252,GO:0031253,GO:0031256,GO:0032279,GO:0032589,GO:0033270,GO:0042995,GO:0043005,GO:0043226,GO:0044224,GO:0044304,GO:0045202,GO:0071944,GO:0098590,GO:0098794,GO:0098984,GO:0099572,GO:0110165,GO:0120025	Q9JMB3	GO:0033270	GO:0005575,GO:0030424,GO:0033270,GO:0042995,GO:0043005,GO:0044304,GO:0110165,GO:0120025	ENSMUSG00000024044	ENSRNOG00000016724	66.9891	16.7379	0.6935986666666666	64.6497	29.604033333333334	0.44584333333333337	ortholog	0.7176918501301572	0.27787895382787864	1.0	0.8867267498697721
4	O55159	GO:0005886,GO:0005923,GO:0009986,GO:0016021,GO:0016328	GO:0005575,GO:0005886,GO:0005911,GO:0005923,GO:0009986,GO:0016020,GO:0016021,GO:0016328,GO:0030054,GO:0031224,GO:0043296,GO:0070160,GO:0070161,GO:0071944,GO:0110165	Q99JW5	GO:0009986	GO:0005575,GO:0009986,GO:0110165	ENSRNOG00000015667	ENSMUSG00000045394	0.7025359999999999	439.713	10.61948	0.0901549	35.3262	0.4105093333333333	ortholog	0.33761919232500276	0.18292647818800467	1.0	0.8038483801817962
5	Q99PH1	GO:0043197,GO:0044309,GO:0045202,GO:0045211,GO:0060076,GO:0098685,GO:0098978,GO:0099061	GO:0005575,GO:0005886,GO:0005887,GO:0014069,GO:0016020,GO:0016021,GO:0030054,GO:0030425,GO:0031224,GO:0031226,GO:0032279,GO:0036477,GO:0042995,GO:0043005,GO:0043197,GO:0043226,GO:0044309,GO:0045202,GO:0045211,GO:0060076,GO:0071944,GO:0097060,GO:0097447,GO:0098590,GO:0098685,GO:0098794,GO:0098839,GO:0098936,GO:0098948,GO:0098978,GO:0098984,GO:0099055,GO:0099060,GO:0099061,GO:0099146,GO:0099240,GO:0099572,GO:0099634,GO:0099699,GO:0110165,GO:0120025	Q45R42	GO:0098978,GO:0099061	GO:0005575,GO:0005886,GO:0005887,GO:0014069,GO:0016020,GO:0016021,GO:0030054,GO:0031224,GO:0031226,GO:0032279,GO:0043226,GO:0045202,GO:0045211,GO:0071944,GO:0097060,GO:0098590,GO:0098794,GO:0098839,GO:0098936,GO:0098948,GO:0098978,GO:0098984,GO:0099055,GO:0099060,GO:0099061,GO:0099146,GO:0099240,GO:0099572,GO:0099634,GO:0099699,GO:0110165	ENSMUSG00000049939	ENSRNOG00000008098	25.62986666666667	0.13699250000000002	0.0	32.09506666666667	0.196818	0.044090533333333334	ortholog	0.7586810232732654	0.48532664840192286	1.0	0.4154088050314466
6	O35509	GO:0008021,GO:0031410,GO:0098993	GO:0005575,GO:0005622,GO:0005737,GO:0008021,GO:0012505,GO:0012506,GO:0016020,GO:0030054,GO:0030133,GO:0030658,GO:0030659,GO:0030672,GO:0031090,GO:0031224,GO:0031225,GO:0031300,GO:0031410,GO:0031982,GO:0043226,GO:0043227,GO:0043229,GO:0045202,GO:0070382,GO:0097708,GO:0098563,GO:0098588,GO:0098793,GO:0098805,GO:0098993,GO:0099501,GO:0099503,GO:0110165	P62492	GO:0005737,GO:0016020,GO:0030424,GO:0048471,GO:0055037	GO:0005575,GO:0005622,GO:0005737,GO:0005768,GO:0012505,GO:0016020,GO:0030424,GO:0031410,GO:0031982,GO:0042995,GO:0043005,GO:0043226,GO:0043227,GO:0043229,GO:0048471,GO:0055037,GO:0097708,GO:0110165,GO:0120025	ENSRNOG00000007648	ENSMUSG00000004771	171.61466666666664	97.15383333333334	42.21203333333333	94.26736666666666	114.4078	75.32473333333333	ortholog	0.3845255115833253	0.4244128073994382	1.0	0.9807459677419355
7	P01101	GO:0005634,GO:0005667,GO:0005737,GO:0005783	GO:0005575,GO:0005622,GO:0005634,GO:0005667,GO:0005737,GO:0005783,GO:0012505,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	P12841	GO:0005634,GO:0005654,GO:0016020,GO:0043005	GO:0005575,GO:0005622,GO:0005634,GO:0005654,GO:0016020,GO:0031974,GO:0031981,GO:0042995,GO:0043005,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0070013,GO:0110165,GO:0120025	ENSMUSG00000021250	ENSRNOG00000008015	12.145666666666667	0.9241066666666664	0.5724316666666667	7.99627	3.703513333333333	1.0189350000000001	ortholog	0.4247884047294539	0.357722992868284	1.0	0.8123441900825839
8	Q9Z0D9	GO:0009986	GO:0005575,GO:0009986,GO:0110165	P35411	GO:0009986,GO:0032809,GO:0043005,GO:0048471,GO:0097447	GO:0005575,GO:0005622,GO:0005737,GO:0005886,GO:0009986,GO:0016020,GO:0032809,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0044297,GO:0044298,GO:0048471,GO:0071944,GO:0097447,GO:0110165,GO:0120025	ENSMUSG00000052336	ENSRNOG00000018509	12.721800000000002	1.041845	0.099267	19.58483333333333	4.174236666666666	0.5573063333333333	ortholog	0.3372022822337059	0.1559674840011428	1.0	0.9123188405797102
9	P61161	GO:0005938,GO:0030478	GO:0005575,GO:0005622,GO:0005737,GO:0005856,GO:0005938,GO:0015629,GO:0030478,GO:0030863,GO:0030864,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0071944,GO:0110165	Q5M7U6	GO:0014069,GO:0030027,GO:0061825,GO:0071437,GO:0098794	GO:0002102,GO:0005575,GO:0005622,GO:0005856,GO:0014069,GO:0015629,GO:0030027,GO:0030054,GO:0031252,GO:0032279,GO:0042995,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0045202,GO:0061825,GO:0071437,GO:0098794,GO:0098984,GO:0099572,GO:0110165,GO:0120025	ENSMUSG00000020152	ENSRNOG00000004959	93.58823333333332	55.29986666666667	33.47846666666667	177.48066666666668	135.45133333333334	38.1578	ortholog	0.14768477676037278	0.2578252113276871	1.0	0.9270215806250686
