	xref_x	go_term_x	path_x	xref_y	go_term_y	path_y	p1	p2	Brain_x	Colon_x	Duodenum_x	Esophagus_x	Heart_x	Ileum_x	Jejunum_x	Kidney_x	Liver_x	Pancreas_x	Quadriceps_x	Stomach_x	Thymus_x	Brain_y	Colon_y	Duodenum_y	Esophagus_y	Heart_y	Ileum_y	Jejunum_y	Kidney_y	Liver_y	Pancreas_y	Quadriceps_y	Stomach_y	Thymus_y	type	sc_sim	yc_sim	p_corr	r_sim
0	P62501	GO:0000978,GO:0001228	GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000987,GO:0001067,GO:0001216,GO:0001228,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0043565,GO:0097159,GO:0098772,GO:0140110,GO:1901363,GO:1990837	P62500	GO:0005515	GO:0003674,GO:0005488,GO:0005515	ENSRNOG00000001030	ENSMUSG00000022010	230.798	301.818	191.94100000000003	199.64666666666668	93.025	151.23333333333332	210.63533333333336	210.71666666666667	82.41833333333334	20.561333333333334	97.21033333333334	184.29	90.31966666666666	200.3743333333333	249.24	168.173	127.855	146.594	101.017	128.29066666666665	162.48233333333334	57.54500000000001	19.271666666666672	48.589	97.15700000000001	128.72766666666666	ortholog	0.08247997046078599	0.05669527437908162	0.8210165227604379	0.979296799427775
1	Q8VHL1	GO:0005515,GO:0016279	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0008168,GO:0008170,GO:0008276,GO:0008757,GO:0016278,GO:0016279,GO:0016740,GO:0016741,GO:0140096	D4ADE5	GO:0003682	GO:0003674,GO:0003682,GO:0005488	ENSMUSG00000037111	ENSRNOG00000013045	44.70566666666667	17.168	9.353333333333332	18.94	28.699333333333332	9.297333333333333	9.041666666666666	5.096	0.7383333333333334	0.6900000000000001	82.197	7.490000000000001	49.71233333333333	23.423000000000002	10.162	1.8786666666666667	16.290333333333333	4.484	8.684333333333333	4.3373333333333335	2.597	0.6283333333333333	0.5870000000000001	61.31266666666666	2.130333333333333	13.331666666666667	ortholog	0.08824982416129669	0.2699384090558532	0.8973337537610176	0.8021416519100173
3	O88533	GO:0004058	GO:0003674,GO:0003824,GO:0004058,GO:0016829,GO:0016830,GO:0016831	P14173	GO:0004058,GO:0005515,GO:0016597,GO:0019904,GO:0030170	GO:0003674,GO:0003824,GO:0004058,GO:0005488,GO:0005515,GO:0016597,GO:0016829,GO:0016830,GO:0016831,GO:0019842,GO:0019904,GO:0030170,GO:0031406,GO:0036094,GO:0043167,GO:0043168,GO:0043177,GO:0070279,GO:0097159,GO:1901363	ENSMUSG00000020182	ENSRNOG00000004327	10.289333333333332	49.11633333333333	170.26200000000003	1.493	4.792000000000002	16.094333333333335	99.191	75.22399999999999	98.11433333333332	4.370666666666667	0.7203333333333334	5.1579999999999995	1.5113333333333332	3.3626666666666667	8.288666666666666	39.136666666666656	2.094	9.682333333333332	10.095666666666668	19.319666666666667	40.511666666666656	19.956	1.6993333333333334	1.143333333333333	0.6003333333333333	0.19200000000000006	ortholog	0.3333333333333333	0.3133018226967401	0.857900519737673	0.7853520767491934
4	Q04447	GO:0004111,GO:0005515	GO:0003674,GO:0003824,GO:0004111,GO:0005488,GO:0005515,GO:0016301,GO:0016740,GO:0016772,GO:0016775	P07335	GO:0005515	GO:0003674,GO:0005488,GO:0005515	ENSMUSG00000001270	ENSRNOG00000010872	640.335	62.65266666666667	235.21866666666668	31.53666666666667	20.282333333333334	56.59433333333333	132.46133333333333	53.99766666666667	4.163666666666667	1.6316666666666666	6.706666666666668	221.5306666666667	14.723	959.4010000000001	578.0403333333334	510.18799999999993	111.75966666666666	119.194	257.7576666666667	535.9036666666667	81.648	6.306333333333334	10.917333333333332	25.77933333333333	376.9906666666666	60.32300000000001	ortholog	0.6666666666666666	0.054503389470160535	0.7487063937754627	0.8714031739382898
5	Q8R550	GO:0005515	GO:0003674,GO:0005488,GO:0005515	Q925Q9	GO:0005515,GO:0031625	GO:0003674,GO:0005488,GO:0005515,GO:0019899,GO:0031625,GO:0044389	ENSMUSG00000040990	ENSRNOG00000004322	13.579	7.549333333333332	4.7763333333333335	10.376333333333333	91.28733333333332	4.217333333333333	4.533	2.5016666666666665	0.462	0.371	13.866666666666665	3.583	122.30266666666668	20.568666666666672	10.225	4.351666666666667	9.412	145.61166666666668	26.067	3.6336666666666666	4.558000000000002	0.513	2.36	14.792333333333335	6.390666666666667	93.16033333333333	ortholog	0.7240736124831232	0.0942240949990033	0.9055923837989747	0.809318425792835
7	A0A1W2P6L4	GO:0005515	GO:0003674,GO:0005488,GO:0005515	A0A0G2JW60	GO:0051015	GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0008092,GO:0044877,GO:0051015	ENSMUSG00000019820	ENSRNOG00000011058	8.512666666666666	11.278333333333334	9.062666666666667	14.735333333333335	11.259	7.555666666666666	9.408333333333333	4.562	1.061	1.0116666666666667	3.187666666666667	9.858	13.792	9.387	13.445333333333332	11.198	21.020666666666667	14.152	16.338	11.086666666666668	7.324333333333333	3.35	2.9616666666666664	4.843333333333334	11.832666666666668	15.309333333333333	ortholog	0.17192194564459304	0.06393868817505233	0.9200494330462639	0.9193447120305163
8	Q9JLQ0	GO:0005515	GO:0003674,GO:0005488,GO:0005515	F1LRS8	GO:0005172,GO:0005515,GO:0008013,GO:0008022,GO:0044877,GO:0045296	GO:0003674,GO:0005102,GO:0005126,GO:0005172,GO:0005488,GO:0005515,GO:0008013,GO:0008022,GO:0044877,GO:0045296,GO:0050839,GO:0070851	ENSMUSG00000061665	ENSRNOG00000011987	4.659	57.795	37.35933333333333	12.518333333333333	8.681000000000001	49.67566666666666	43.49566666666666	17.111666666666668	5.914666666666666	4.655333333333334	3.015333333333333	38.327	14.628666666666666	7.219333333333334	38.649333333333345	37.91666666666666	22.38533333333333	11.785333333333332	47.09666666666667	43.858000000000004	33.528666666666666	14.291000000000002	3.2526666666666664	5.632333333333333	42.49033333333333	76.22700000000002	ortholog	0.3885514041860024	0.01694362547388084	0.5537105464178631	0.856966144008779
9	P41136	GO:0001102,GO:0005515,GO:0140416	GO:0001102,GO:0003674,GO:0005488,GO:0005515,GO:0008134,GO:0033613,GO:0061629,GO:0098772,GO:0140297,GO:0140416	P41137	GO:0005515	GO:0003674,GO:0005488,GO:0005515	ENSMUSG00000020644	ENSRNOG00000007237	84.99833333333333	20.831999999999997	49.986999999999995	25.906	25.03333333333333	30.436999999999998	34.370666666666665	241.212	175.22633333333337	6.794666666666667	4.080000000000001	94.60533333333332	52.181	113.15	48.915	69.71133333333334	29.301666666666666	18.973666666666666	59.20399999999999	54.585	256.4423333333333	63.72733333333334	8.314666666666666	7.732333333333332	88.69566666666668	57.70133333333333	ortholog	0.5338982431610506	0.03983167317588587	0.8617309860308059	0.9211821869787062
10	D4AE24	GO:0004672,GO:0004711,GO:0005524,GO:0042277	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004711,GO:0005488,GO:0005524,GO:0016301,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0035639,GO:0036094,GO:0042277,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363	Q8BSK8	GO:0004672,GO:0005515	GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005515,GO:0016301,GO:0016740,GO:0016772,GO:0016773,GO:0140096	ENSRNOG00000021689	ENSMUSG00000020516	16.832666666666665	21.149333333333328	18.452	28.29966666666667	9.034333333333334	24.37933333333333	20.046000000000006	14.918	9.407333333333334	15.942999999999998	8.544666666666666	18.033	42.133666666666656	15.085666666666668	16.396666666666665	14.333666666666668	18.018	26.27133333333333	17.310333333333332	15.882333333333335	13.001333333333335	8.753666666666666	5.980333333333332	12.678666666666668	16.281000000000002	48.06866666666667	ortholog	0.06005455363695362	0.1710121554985411	0.7218687847642378	0.8879915837155978
12	Q61029	GO:0005515	GO:0003674,GO:0005488,GO:0005515	Q62733	GO:0005515,GO:0005521	GO:0003674,GO:0005488,GO:0005515,GO:0005521	ENSMUSG00000019961	ENSRNOG00000008797	14.51	47.94633333333334	33.516333333333336	31.449	72.76700000000002	53.726333333333336	39.29733333333333	21.969	15.063333333333333	7.264333333333332	19.882666666666665	25.30966666666667	200.767	17.165666666666667	50.998999999999995	42.46833333333333	30.671666666666663	14.326333333333332	65.27233333333334	55.74666666666667	19.492666666666672	9.719333333333333	7.847000000000001	15.873999999999995	37.056333333333335	126.433	ortholog	0.7057321206204629	0.06224566358776107	0.8617559975368807	0.9207090663988027
